"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","X100","X50","X0","Helmet","DRS","HomeRuns","AwayRuns","HomePercent","AwayPercent","WinRuns","LossRuns","DrawnRuns","WinPercent","LossPercent","DrawnPercent","vsAus","vsEng","vsSa","vsWi","vsNz","vsPak","vsSl"
"1","SR Tendulkar","1989-2013",200,329,33,15921,248,53.78,51,68,14,1,0.12,7216,8705,45.32,54.68,5946,4088,5887,37.35,25.68,36.98,22.8,15.92,10.94,10.24,10.02,6.64,12.53
"2","R Dravid","1996-2012",163,284,32,13265,270,52.63,36,63,7,1,0.12,5598,7667,42.2,57.8,5131,2755,5379,38.68,20.77,40.55,16.16,14.7,9.44,14.91,12.51,9.32,11.37
"3","SM Gavaskar","1971-1987",125,214,16,10122,236,51.12,34,45,12,0.44,0,5067,5055,50.06,49.94,1671,2314,6137,16.51,22.86,60.63,15.31,24.53,NA,27.16,6.43,20.64,5.93
"4","VVS Laxman","1996-2012",134,225,34,8781,281,45.97,17,56,14,1,0.12,3767,5014,42.9,57.1,3410,1991,3380,38.83,22.67,38.49,27.72,8.72,11.11,19.53,9.32,8.83,10.25
"5","V Sehwag","2001-2013",103,178,6,8503,319,49.43,23,31,16,1,0.25,4656,3847,54.76,45.24,3498,1841,3164,41.14,21.65,37.21,20.44,9.66,15.36,10.44,10.38,15.01,14.57
"6","SC Ganguly","1996-2008",113,188,17,7212,239,42.17,16,35,13,1,0,3180,4032,44.09,55.91,2284,1653,3275,31.67,22.92,45.41,19.45,13.63,13.13,6.23,7.81,12.51,14.75
"7","DB Vengsarkar","1976-1992",116,185,22,6868,166,42.13,17,35,15,0.75,0,3725,3143,54.24,45.76,1187,1654,4027,17.28,24.08,58.63,18.99,23.14,NA,23.24,6.41,18.7,9.54
"8","V Kohli","2011-2019",77,131,8,6613,243,53.76,25,20,8,1,1,3105,3508,46.95,53.05,3283,1699,1631,49.64,25.69,24.66,24.26,23.74,11.46,10.37,11.11,NA,15.18
"9","M Azharuddin","1984-2000",99,147,9,6215,199,45.03,22,21,5,1,0,3412,2803,54.9,45.1,1609,1605,3001,25.89,25.82,48.29,12.55,20.56,12.53,8.67,12.81,12.37,19.55
"10","GR Viswanath","1971-1983",87,147,9,5746,222,41.63,13,33,9,0.25,0,3168,2578,55.13,44.87,1564,1359,2823,27.22,23.65,49.13,20.95,32.72,NA,25.32,10.18,10.63,0.19
"11","CA Pujara","2010-2019",68,114,8,5426,206,51.18,18,20,6,1,1,3217,2209,59.29,40.71,3506,810,1110,64.61,14.93,20.46,29.89,24.68,11.3,5.31,11.96,NA,13.69
"12","N Kapil Dev","1978-1994",131,184,15,5248,163,31.05,8,27,16,0.88,0,2810,2438,53.54,46.46,904,1576,2768,17.23,30.03,52.74,13.09,25.82,3.85,20.56,3.94,20.08,11.2
